#VAD segments of Expresso long files (longform and conversational). Format: "{filename/channel}\t{vad segments}"
#MODEL: pyannote/voice-activity-detection
#HYPER_PARAMETERS: {'onset': 0.2, 'offset': 0.2, 'min_duration_on': 0.0, 'min_duration_off': 0.0}
ex01-ex02_default_001/channel1	(23.88, 28.14) (55.12, 61.83) (81.76, 94.58) (96.14, 99.49) (130.75, 141.9) (167.15, 198.24)
ex01-ex02_default_001/channel2	(0.0, 23.76) (28.56, 55.04) (61.93, 81.33) (98.89, 110.97) (111.88, 126.95) (129.0, 131.77) (139.12, 152.66) (153.79, 167.94) (197.46, 216.06)
ex01-ex02_default_002/channel1	(0.0, 6.59) (8.14, 10.53) (11.44, 12.06) (13.0, 20.35) (21.84, 22.47)
ex01-ex02_default_002/channel2	(0.49, 1.09) (2.16, 7.13) (8.88, 11.03) (12.19, 15.76) (16.95, 21.77) (22.11, 23.17)
ex01-ex02_default_003/channel1	(17.32, 34.32) (38.09, 48.65) (53.82, 54.6) (55.79, 161.34) (166.21, 166.6) (166.68, 168.24) (168.4, 184.95) (188.36, 193.57) (195.1, 224.94) (249.45, 259.74) (260.1, 272.6) (275.05, 294.38) (299.4, 301.1)
ex01-ex02_default_003/channel2	(0.0, 17.29) (33.8, 37.97) (50.26, 53.61) (161.72, 166.08) (185.76, 188.05) (224.76, 249.17) (273.02, 274.18) (292.97, 299.04)
ex01-ex02_default_004/channel1	(11.68, 14.27) (18.45, 54.4) (65.95, 78.99) (88.38, 89.54) (214.6, 220.22) (222.74, 250.1) (251.47, 253.37) (256.0, 287.56) (297.86, 325.99) (327.65, 387.82) (389.21, 436.77) (437.86, 452.9) (453.69, 461.41)
ex01-ex02_default_004/channel2	(0.0, 12.38) (16.78, 18.1) (54.22, 66.48) (79.18, 88.02) (89.8, 197.69) (198.2, 200.05) (201.9, 215.15) (218.6, 221.78) (253.47, 256.58) (288.6, 295.95) (460.83, 460.95)
ex01-ex02_default_005/channel1	(74.25, 78.3) (174.52, 200.51) (202.06, 212.47) (213.84, 233.14) (233.96, 277.91) (282.32, 328.94) (331.87, 334.21) (335.61, 343.59) (347.75, 367.96) (380.11, 382.18) (412.38, 422.6) (427.84, 430.65) (433.0, 477.27) (506.12, 509.37) (510.64, 511.88)
ex01-ex02_default_005/channel2	(0.21, 15.94) (19.92, 52.58) (54.7, 74.99) (78.62, 172.24) (277.66, 282.82) (329.0, 330.92) (341.96, 347.74) (368.4, 379.65) (382.04, 412.61) (422.72, 434.39) (478.93, 506.57)
ex01-ex02_default_006/channel1	(0.0, 4.13) (4.17, 8.84) (10.75, 20.42) (31.1, 32.3) (105.22, 106.12) (107.13, 116.15) (206.32, 208.44) (237.84, 258.32) (303.77, 308.49) (309.95, 330.44) (332.07, 332.67) (332.9, 335.71) (360.28, 370.45) (372.6, 388.49) (437.42, 440.11) (442.67, 445.56) (472.05, 479.53) (505.97, 509.37) (523.5, 526.28) (528.97, 532.62) (533.25, 544.1)
ex01-ex02_default_006/channel2	(20.39, 30.88) (32.42, 71.75) (72.9, 107.17) (113.35, 240.62) (259.25, 303.12) (306.71, 310.04) (330.35, 334.0) (335.7, 361.29) (370.09, 372.97) (389.26, 392.29) (393.39, 438.53) (444.2, 472.09) (477.09, 477.81) (478.6, 505.52) (509.02, 523.44) (525.96, 529.6) (544.07, 545.67)
ex01-ex02_default_007/channel1	(0.91, 5.94) (8.63, 11.69) (18.28, 35.1) (37.63, 76.02) (79.89, 91.32) (93.66, 164.68) (165.95, 365.95) (383.42, 418.88) (423.6, 565.17) (565.67, 581.98) (587.47, 631.36) (633.63, 651.66) (654.15, 691.11) (692.3, 704.06) (705.11, 715.75) (717.06, 749.33) (751.31, 765.04)
ex01-ex02_default_007/channel2	(5.52, 9.26) (11.06, 17.82) (23.39, 26.12) (35.07, 37.43) (76.45, 79.63) (91.72, 93.28) (365.13, 373.05) (418.17, 423.69) (582.33, 586.66) (598.22, 599.77) (632.6, 633.64) (652.04, 655.2) (691.02, 691.94) (749.84, 750.97) (764.83, 764.96)
